vehicle_id,trip_id,route_id,route_short_name,route_long_name,route_type
9031001001501728,14010000721896500,9011001040100000,401,,700.0
9031001004505537,14010000727983965,9011001061100000,611,,700.0
9031001002520033,14010100722380479,9011001001400000,14,Röda linjen,401.0
9031001003005097,14010000722563009,9011001080600000,806,,700.0
9031001004505140,14010000721192927,9011001063400000,634,,700.0
9031001000500796,14010000719517116,9011114003000000,30,,1000.0
9031001003002753,14010000720459210,9011001014400000,144,,700.0
9031001003003093,14010000726289245,9011001048000000,480C,,700.0
9031001004505548,14010000721190709,9011001063900000,639,,700.0
9031001001004579,14010000717173862,9011001015700000,157,,700.0
9031001004505549,14010000721191498,9011001062100000,621,,700.0
9031001003003540,14010000644171677,9011001056400000-564V,564V,,700.0
9031001007044860,14010000719408338,9011001003000000,30,Tvärbanan,900.0
9031001004505594,14010000721192842,9011001067600000,676,,700.0
9031001003005429,14010000722070076,9011001040500000,405,,700.0
9031001003005512,14010000720457437,9011001016300000,163,,700.0
9031001004505053,14010000727983998,9011001061600000,616,,700.0
9031001001501642,14010000721896818,9011001087500000,875,,700.0
9031001004544418,14010000717908333,9011001002700000,27,Kårstalinjen,900.0
9031001001004591,14010000693622525,9011001011700000,117,,700.0
9031001004505540,14010000720928179,9011001068100000,681,,700.0
9031001003005572,14010000689192082,9011001016500000,165,,700.0
9031001003005073,14010000698087448,9011001082700000,827,,700.0
9031001002520036,14010000722387519,9011001001300000,13,Röda linjen,401.0
9031001000500676,,,,,
9031001004505088,14010000720616520,9011001054500000,545,,700.0
9031001003003790,14010000717789612,9011001078800000,788,,700.0
9031001001501593,14010000721896112,9011001087300000,873,,700.0
9031001003005344,14010000722071046,9011001044400000,444,,700.0
9031001000700469,14010100695832653,9011001000700000,7,Spårväg city,900.0
9031001000500736,14010000729662383,9011114001400000,14,,1000.0
9031001003003059,14010000709384218,9011001055600000,556,,700.0
9031001006502259,,,,,
9031001004505034,14010000725408079,9011001053000000,530,,700.0
9031001004500451,14010000725410511,9011001061500000,615,,700.0
9031001003005451,14010000722069950,9011001047100000,471,,700.0
9031001004505098,14010000726356301,9011001061600000,616,,700.0
9031001003004982,14010000722561145,9011001080700000,807,,700.0
9031001003005557,14010000723815088,9011001016100000,161,,700.0
9031001001004035,14010000686338748,9011001006700000,67,,700.0
9031001003003565,14010000720368050,9011001051800000,518,,700.0
9031001000500546,14010100725151764,9011114001400000,14,,1000.0
9031001007048017,14010000719408377,9011001003000000,30,Tvärbanan,900.0
9031001003005442,14010100722069460,9011001047100000,471,,700.0
9031001004500493,14010000720616022,9011001057300000,573,,700.0
9031001004505190,14010000725409565,9011001067000000,670,,700.0
9031001004505205,14010000720615999,9011001057000000,570,,700.0
9031001001004657,14010000728117514,9011001050900000,509,,700.0
9031001003004991,14010000725032022,9011001083100000,831,,700.0
9031001003007810,,,,,
9031001003005470,14010000720461000,9011001016500000,165,,700.0
9031001004547421,14010000717908390,9011001002800000,28,Österskärslinjen,900.0
9031001001004060,14010000717718319,9011001005000000,50,,700.0
9031001003005487,14010000720460650,9011001016300000,163,,700.0
9031001003003108,14010000726288613,9011001042300000,423,,700.0
9031001001004614,14010000726909393,9011001051400000,514,,700.0
9031001001007176,14010000717632703,9011001000300000,3,,700.0
9031001003007262,14010000726164956,9011001092600000-26M,26M,Ersätter Saltsjöbanan,700.0
9031001003002769,14010000720461803,9011001072500000,725,,700.0
9031001003005092,14010000722561616,9011001083500000,835,,700.0
9031001001004658,14010000687466005,9011001011600000,116,,700.0
9031001003005529,14010000720461661,9011001014300000,143,,700.0
9031001003004469,14010000702092996,9011001017500000,175,,700.0
9031001001500312,14010000721896759,9011001082300000,823,,700.0
9031001001004617,14010000728117698,9011001050900000,509,,700.0
9031001004505600,14010000721193241,9011001067600000,676,,700.0
9031001001004130,14010000723330942,9011001017900000,179,,700.0
9031001003005051,14010000722563248,9011001082900000,829,,700.0
9031001003005437,14010100722070657,9011001047100000,471,,700.0
9031001001506601,14010000696996310,9011001032300000,323,,700.0
9031001003003872,14010000711853037,9011001083400000,834,,700.0
9031001003003825,14010000702092958,9011001017500000,175,,700.0
9031001001007180,14010000686214214,9011001007400000,74,,700.0
9031001003005066,14010000722560451,9011001082400000,824,,700.0
9031001004500400,14010000720615973,9011001053900000,539,,700.0
9031001003003521,14010000644172858,9011001055200000,552H,,700.0
9031001004505022,14010000725409928,9011001060700000,607,,700.0
9031001004505158,14010000720926634,9011001062400000,624,,700.0
9031001003006037,14010000719674767,9011001074300000,743,,700.0
9031001003002809,14010000720457691,9011001017200000,172,,700.0
9031001003005604,14010000720460308,9011001071600000,716,,700.0
9031001002500167,14010100722680738,9011001001900000,19,Gröna linjen,401.0
9031001003005399,14010000726288015,9011001040200000,402,,700.0
9031001003003134,,,,,
9031001004505513,14010000720924878,9011001062400000,624,,700.0
9031001003005380,14010000726289785,9011001040200000,402,,700.0
9031001001004054,14010000724504273,9011001020100000,201,,700.0
9031001000500681,14010000729661927,9011114001400000,14,,1000.0
9031001004500407,14010000720615243,9011001056000000,560,,700.0
9031001003007224,14010000689040852,9011001075100000,751,,700.0
9031001006512954,,,,,
9031001007048440,14010000692212844,9011001000700000,7,Spårväg city,900.0
9031001001004637,14010000717174757,9011001050100000,501,,700.0
9031001002510050,14010200722426440,9011001001000000,10,Blå linjen,401.0
9031001001004690,14010000717173700,9011001050500000,505,,700.0
9031001003003518,14010000709384360,9011001055700000,557,,700.0
9031001003002735,14010000724219136,9011001074200000,742,,700.0
9031001004500427,14010000720616349,9011001053100000,531,,700.0
9031001004505080,14010000725408841,9011001061000000,610,,700.0
9031001003003513,14010000670436623,9011001054300000,543,,700.0
9031001001007222,14010000717632175,9011001000300000,3,,700.0
9031001004505050,14010000725411189,9011001061200000,612,,700.0
9031001007039938,14010000719408159,9011001003000000,30,Tvärbanan,900.0
9031001003002771,14010000720457390,9011001074000000,740,,700.0
9031001006502254,,,,,
9031001004505538,14010000725411120,9011001068000000,680,,700.0
9031001003005564,14010000723815010,9011001016100000,161,,700.0
9031001001500406,14010000725852005,9011001081200000,812C,,700.0
9031001001004025,14010000717717644,9011001000600000,6,,700.0
9031001003005047,14010000722563028,9011001080900000,809,,700.0
9031001002510024,,,,,
9031001003005403,14010000726289060,9011001044200000,442,,700.0
9031001001004553,14010000726871141,9011001011900000,119,,700.0
9031001004505115,14010000721192229,9011001063900000,639,,700.0
9031001000500672,14010100730049305,9011114002700000,27,,1000.0
9031001001506911,14010000724888733,9011001030300000,303,,700.0
9031001001004662,14010000723331297,9011001051700000,517,,700.0
9031001001004121,14010000693606020,9011001017900000,179,,700.0
9031001003002767,14010000720460554,9011001070700000,707,,700.0
9031001001004643,14010000717173520,9011001052300000,523,,700.0
9031001001501706,14010000721896708,9011001087300000,873,,700.0
9031001004505102,14010000725736203,9011001068200000,682,,700.0
9031001004500486,14010000720616687,9011001058200000,582,,700.0
9031001001004141,14010000726909801,9011001051400000,514,,700.0
9031001003003135,,,,,
9031001003002786,14010000723040431,9011001017300000,173,,700.0
9031001000500514,14010100725159192,9011114002100000,21,,1000.0
9031001003004963,14010000722562651,9011001085800000,858,,700.0
9031001003002810,14010000720457824,9011001017200000,172,,700.0
9031001001004070,14010000724503884,9011001000100000,1,,700.0
9031001000500537,14010000725158068,9011114001800000,18,,1000.0
9031001001007196,14010000724564107,9011001000200000,2,,700.0
9031001002500033,14010200722680139,9011001001700000,17,Gröna linjen,401.0
9031001003005596,14010000720458761,9011001070200000,702,,700.0
9031001007047256,14010000697296520,9011001003100000,31,Tvärbanan,900.0
9031001003003867,14010000722562299,9011001083200000,832,,700.0
9031001003003885,14010000691115433,9011001043400000,434,,700.0
9031001001004004,14010000717718094,9011001000500000,5,,700.0
9031001003005337,14010000726288833,9011001043800000,438,,700.0
9031001003005058,14010000722561711,9011001081800000,818C,,700.0
9031001004505016,14010000720928756,9011001068700000,687,,700.0
9031001003005085,14010000698087363,9011001086100000,861,,700.0
9031001001500410,14010000721896143,9011001040100000,401,,700.0
9031001006502755,,,,,
9031001008000630,14010000691588376,9011001008000000-80X,80X,,1000.0
9031001001004114,14010000717717403,9011001000500000,5,,700.0
