OBJECTID,ANORDNING_ID,ANORDNINGNAMN,TYP,UNDERTYP,BESKRIVNING,NP,GEOMETRIKVALITET,SKYDDSTYP_KOD,SKYDDATOMRADE,SKYDDATOMRADE_ID,STATLIGLED,STATLIGLED_ID,latitude_wgs84,longitude_wgs84,osm_link,osm_nearby_link
33783245,30484854,Grillplats,Eldstad,Eldstad,,0,<= 20 meter,NR,Grogarnsberget (2013401),2013401,,,57.4368122,18.8976076,https://www.openstreetmap.org/?mlat=57.4368122&mlon=18.8976076#map=18/57.4368122/18.8976076,"https://overpass-turbo.eu/?Q=[out:json];(nwr(around:50,57.4368122,18.8976076););out center;"
33786813,30484647,Vindskydd med eldstad vid Kalvsundet,Vindskydd,Vindskydd,"Vindskydd med eldstad, bänkbord och sittring. I anslutning finns dass och vedbod.",0,>20-50 meter,NR,Brämön (2002919),2002919,,,62.1886499,17.6862817,https://www.openstreetmap.org/?mlat=62.1886499&mlon=17.6862817#map=18/62.1886499/17.6862817,"https://overpass-turbo.eu/?Q=[out:json];(nwr(around:50,62.1886499,17.6862817););out center;"
33772901,30484391,,Eldstad,Eldstad,,0,Okänd noggrannhet,NR,Alsjöåsen (2004562),2004562,,,61.6981087,16.7220452,https://www.openstreetmap.org/?mlat=61.6981087&mlon=16.7220452#map=18/61.6981087/16.7220452,"https://overpass-turbo.eu/?Q=[out:json];(nwr(around:50,61.6981087,16.7220452););out center;"
33783312,30483693,,Eldstad,Eldstad,,0,<= 20 meter,NVO,Kållands skärgårdar (2000364),2000364,,,58.7036268,13.2270852,https://www.openstreetmap.org/?mlat=58.7036268&mlon=13.2270852#map=18/58.7036268/13.2270852,"https://overpass-turbo.eu/?Q=[out:json];(nwr(around:50,58.7036268,13.2270852););out center;"
33783310,30483688,,Eldstad,Eldstad,,0,<= 20 meter,NVO,Kållands skärgårdar (2000364),2000364,,,58.7025817,13.2212616,https://www.openstreetmap.org/?mlat=58.7025817&mlon=13.2212616#map=18/58.7025817/13.2212616,"https://overpass-turbo.eu/?Q=[out:json];(nwr(around:50,58.7025817,13.2212616););out center;"
33784004,30483687,,Vindskydd,Vindskydd,,0,<= 20 meter,NVO,Kållands skärgårdar (2000364),2000364,,,58.7024425,13.2207288,https://www.openstreetmap.org/?mlat=58.7024425&mlon=13.2207288#map=18/58.7024425/13.2207288,"https://overpass-turbo.eu/?Q=[out:json];(nwr(around:50,58.7024425,13.2207288););out center;"
33783289,30483646,,Eldstad,Eldstad,,0,<= 20 meter,NVO,Kållands skärgårdar (2000364),2000364,,,58.6647205,13.0785702,https://www.openstreetmap.org/?mlat=58.6647205&mlon=13.0785702#map=18/58.6647205/13.0785702,"https://overpass-turbo.eu/?Q=[out:json];(nwr(around:50,58.6647205,13.0785702););out center;"
33783288,30483644,,Eldstad,Eldstad,,0,<= 20 meter,NVO,Kållands skärgårdar (2000364),2000364,,,58.6673757,13.0781342,https://www.openstreetmap.org/?mlat=58.6673757&mlon=13.0781342#map=18/58.6673757/13.0781342,"https://overpass-turbo.eu/?Q=[out:json];(nwr(around:50,58.6673757,13.0781342););out center;"
33783287,30483642,,Vindskydd,Vindskydd,,0,<= 20 meter,NVO,Kållands skärgårdar (2000364),2000364,,,58.6674872,13.0782329,https://www.openstreetmap.org/?mlat=58.6674872&mlon=13.0782329#map=18/58.6674872/13.0782329,"https://overpass-turbo.eu/?Q=[out:json];(nwr(around:50,58.6674872,13.0782329););out center;"
33784366,30483496,Rastplats,Rastplats,Bord,,0,Okänd noggrannhet,NR,Råön (2005536),2005536,,,56.8892965,13.764783,https://www.openstreetmap.org/?mlat=56.8892965&mlon=13.764783#map=18/56.8892965/13.764783,"https://overpass-turbo.eu/?Q=[out:json];(nwr(around:50,56.8892965,13.764783););out center;"
33786753,30483495,Bänk,Rastplats,Bänk ,,1,<= 20 meter,NP,Åsnens nationalpark (2049265),2049265,,,56.6154658,14.6170069,https://www.openstreetmap.org/?mlat=56.6154658&mlon=14.6170069#map=18/56.6154658/14.6170069,"https://overpass-turbo.eu/?Q=[out:json];(nwr(around:50,56.6154658,14.6170069););out center;"
33786752,30483494,Sittbänk (med ryggstöd),Rastplats,Bänk ,,1,<= 20 meter,NP,Åsnens nationalpark (2049265),2049265,,,56.6154725,14.6170168,https://www.openstreetmap.org/?mlat=56.6154725&mlon=14.6170168#map=18/56.6154725/14.6170168,"https://overpass-turbo.eu/?Q=[out:json];(nwr(around:50,56.6154725,14.6170168););out center;"
33783994,30483336,Stockbänkar och bord,Rastplats,Bord,,0,<= 20 meter,NR,Bosarve lövskog (2014006),2014006,,,57.2544706,18.2416977,https://www.openstreetmap.org/?mlat=57.2544706&mlon=18.2416977#map=18/57.2544706/18.2416977,"https://overpass-turbo.eu/?Q=[out:json];(nwr(around:50,57.2544706,18.2416977););out center;"
33780844,30483294,Parkering för funktionsnedsatta (Trollberget),Parkering för rörelsehindrade,Parkering för rörelsehindrade,Parkering för funktionsnedsatta (2 platser),1,<= 20 meter,NP,Åsnens nationalpark (2049265),2049265,,,56.6135708,14.6178308,https://www.openstreetmap.org/?mlat=56.6135708&mlon=14.6178308#map=18/56.6135708/14.6178308,"https://overpass-turbo.eu/?Q=[out:json];(nwr(around:50,56.6135708,14.6178308););out center;"
33780846,30483290,Parkering för funktionsnedsatta (Trollberget),Parkering för rörelsehindrade,Parkering för rörelsehindrade,Parkering för funktionsnedsatta (3 platser),1,<= 20 meter,NP,Åsnens nationalpark (2049265),2049265,,,56.6134572,14.617362,https://www.openstreetmap.org/?mlat=56.6134572&mlon=14.617362#map=18/56.6134572/14.617362,"https://overpass-turbo.eu/?Q=[out:json];(nwr(around:50,56.6134572,14.617362););out center;"
33784193,30483274,Sittbänk (med armstöd),Rastplats,Bänk ,,1,<= 20 meter,NP,Åsnens nationalpark (2049265),2049265,,,56.6128901,14.616247,https://www.openstreetmap.org/?mlat=56.6128901&mlon=14.616247#map=18/56.6128901/14.616247,"https://overpass-turbo.eu/?Q=[out:json];(nwr(around:50,56.6128901,14.616247););out center;"
33784235,30483273,Sittbänk (med armstöd),Rastplats,Bänk ,,1,<= 20 meter,NP,Åsnens nationalpark (2049265),2049265,,,56.6136005,14.6150699,https://www.openstreetmap.org/?mlat=56.6136005&mlon=14.6150699#map=18/56.6136005/14.6150699,"https://overpass-turbo.eu/?Q=[out:json];(nwr(around:50,56.6136005,14.6150699););out center;"
33789220,30483250,Vindskydd Utsikten,Vindskydd,Vindskydd,Tillgänglighetsanpassat vindkydd,1,<= 20 meter,NP,Åsnens nationalpark (2049265),2049265,,,56.6153985,14.6170005,https://www.openstreetmap.org/?mlat=56.6153985&mlon=14.6170005#map=18/56.6153985/14.6170005,"https://overpass-turbo.eu/?Q=[out:json];(nwr(around:50,56.6153985,14.6170005););out center;"
