NVRID,NAMN,DATA_FRILUFTSLIV_PUBLICERAT,latitude_wgs84,longitude_wgs84,osm_link,osm_nearby_link
2059871,Gråbåden,Nej,58.3261591,17.0411422,https://www.openstreetmap.org/?mlat=58.3261591&mlon=17.0411422#map=18/58.3261591/17.0411422,"https://overpass-turbo.eu/?Q=[out:json];(nwr(around:50,58.3261591,17.0411422););out center;"
2002784,Moån,Nej,65.9982731,23.3301737,https://www.openstreetmap.org/?mlat=65.9982731&mlon=23.3301737#map=18/65.9982731/23.3301737,"https://overpass-turbo.eu/?Q=[out:json];(nwr(around:50,65.9982731,23.3301737););out center;"
2014502,Nästången,Ja,57.881058,15.384402,https://www.openstreetmap.org/?mlat=57.881058&mlon=15.384402#map=18/57.881058/15.384402,"https://overpass-turbo.eu/?Q=[out:json];(nwr(around:50,57.881058,15.384402););out center;"
2065362,Kulla Gunnarstorps naturreservat,Nej,56.1247034,12.6166956,https://www.openstreetmap.org/?mlat=56.1247034&mlon=12.6166956#map=18/56.1247034/12.6166956,"https://overpass-turbo.eu/?Q=[out:json];(nwr(around:50,56.1247034,12.6166956););out center;"
2011290,En ek Hemmingstorp 4:1 Grebo,Nej,58.2587896,15.9403719,https://www.openstreetmap.org/?mlat=58.2587896&mlon=15.9403719#map=18/58.2587896/15.9403719,"https://overpass-turbo.eu/?Q=[out:json];(nwr(around:50,58.2587896,15.9403719););out center;"
2012015,Ek,Nej,57.0265128,16.4262492,https://www.openstreetmap.org/?mlat=57.0265128&mlon=16.4262492#map=18/57.0265128/16.4262492,"https://overpass-turbo.eu/?Q=[out:json];(nwr(around:50,57.0265128,16.4262492););out center;"
2004071,"Klotgran, Härvesta",Nej,59.1382158,14.9181861,https://www.openstreetmap.org/?mlat=59.1382158&mlon=14.9181861#map=18/59.1382158/14.9181861,"https://overpass-turbo.eu/?Q=[out:json];(nwr(around:50,59.1382158,14.9181861););out center;"
2000059,Yttre Stekön,Nej,56.1621686,15.2661899,https://www.openstreetmap.org/?mlat=56.1621686&mlon=15.2661899#map=18/56.1621686/15.2661899,"https://overpass-turbo.eu/?Q=[out:json];(nwr(around:50,56.1621686,15.2661899););out center;"
2002718,Mysinge,Ja,56.5245138,16.4592397,https://www.openstreetmap.org/?mlat=56.5245138&mlon=16.4592397#map=18/56.5245138/16.4592397,"https://overpass-turbo.eu/?Q=[out:json];(nwr(around:50,56.5245138,16.4592397););out center;"
2045114,Jarrebäcken,Nej,66.6297033,18.7726482,https://www.openstreetmap.org/?mlat=66.6297033&mlon=18.7726482#map=18/66.6297033/18.7726482,"https://overpass-turbo.eu/?Q=[out:json];(nwr(around:50,66.6297033,18.7726482););out center;"
2014566,Gönhammaren,Ja,61.7002357,14.5157217,https://www.openstreetmap.org/?mlat=61.7002357&mlon=14.5157217#map=18/61.7002357/14.5157217,"https://overpass-turbo.eu/?Q=[out:json];(nwr(around:50,61.7002357,14.5157217););out center;"
2040325,Öresten 6:11 och Surteby-Skallared 2:2 (Navåsen) Kommunalt,Nej,57.4263632,12.4938538,https://www.openstreetmap.org/?mlat=57.4263632&mlon=12.4938538#map=18/57.4263632/12.4938538,"https://overpass-turbo.eu/?Q=[out:json];(nwr(around:50,57.4263632,12.4938538););out center;"
2014128,Gråberget,Ja,59.6412402,12.2114628,https://www.openstreetmap.org/?mlat=59.6412402&mlon=12.2114628#map=18/59.6412402/12.2114628,"https://overpass-turbo.eu/?Q=[out:json];(nwr(around:50,59.6412402,12.2114628););out center;"
2013459,Älgesta,Ja,58.9931707,16.9994693,https://www.openstreetmap.org/?mlat=58.9931707&mlon=16.9994693#map=18/58.9931707/16.9994693,"https://overpass-turbo.eu/?Q=[out:json];(nwr(around:50,58.9931707,16.9994693););out center;"
2001144,Järflotta,Nej,58.8203585,17.9232982,https://www.openstreetmap.org/?mlat=58.8203585&mlon=17.9232982#map=18/58.8203585/17.9232982,"https://overpass-turbo.eu/?Q=[out:json];(nwr(around:50,58.8203585,17.9232982););out center;"
2052641,Fanöns naturreservat,Ja,63.0304581,18.4647356,https://www.openstreetmap.org/?mlat=63.0304581&mlon=18.4647356#map=18/63.0304581/18.4647356,"https://overpass-turbo.eu/?Q=[out:json];(nwr(around:50,63.0304581,18.4647356););out center;"
2040234,Apelås 1:3,Nej,57.410019,13.1030313,https://www.openstreetmap.org/?mlat=57.410019&mlon=13.1030313#map=18/57.410019/13.1030313,"https://overpass-turbo.eu/?Q=[out:json];(nwr(around:50,57.410019,13.1030313););out center;"
2003302,Rönninge 1:119,Nej,59.1992952,17.7293562,https://www.openstreetmap.org/?mlat=59.1992952&mlon=17.7293562#map=18/59.1992952/17.7293562,"https://overpass-turbo.eu/?Q=[out:json];(nwr(around:50,59.1992952,17.7293562););out center;"
2043227,Tvärmyran,Ja,63.6217692,15.9649525,https://www.openstreetmap.org/?mlat=63.6217692&mlon=15.9649525#map=18/63.6217692/15.9649525,"https://overpass-turbo.eu/?Q=[out:json];(nwr(around:50,63.6217692,15.9649525););out center;"
