tags,id,osm_type,toilets_num,distance_m
"{'access': 'yes', 'amenity': 'toilets', 'drinking_water': 'no', 'toilets:disposal': 'bucket'}",5798509131,node,1,28.231441435183232
"{'access': 'yes', 'amenity': 'toilets', 'changing_table': 'yes', 'fee': 'no', 'toilets:disposal': 'pitlatrine', 'toilets:num_chambers': '3', 'unisex': 'yes', 'wheelchair': 'no'}",5856137513,node,3,22.76442202579706
{'amenity': 'toilets'},5860556339,node,1,11.96054087268826
{'amenity': 'toilets'},6724706158,node,1,6.010837089681577
"{'amenity': 'toilets', 'changing_table': 'no', 'fee': 'no', 'unisex': 'yes', 'wheelchair': 'no'}",7997530880,node,1,4.2760339903841285
"{'access': 'yes', 'amenity': 'toilets', 'drinking_water': 'no', 'fee': 'no', 'toilets:disposal': 'bucket', 'unisex': 'yes'}",8870415588,node,1,187.9634705700376
"{'access': 'yes', 'amenity': 'toilets', 'toilets:disposal': 'bucket', 'unisex': 'yes', 'wheelchair': 'no'}",9011995676,node,1,9.07626408832796
"{'access': 'yes', 'amenity': 'toilets', 'changing_table': 'no', 'description': 'toalett vid västra hamnen', 'fee': 'no', 'opening_hours': '24/7', 'toilets:disposal': 'flush', 'toilets:handwashing': 'yes', 'toilets:paper_supplied': 'yes', 'unisex': 'yes', 'wheelchair': 'no'}",9907275660,node,1,23.176788379647228
{'amenity': 'toilets'},10049770242,node,1,4.8434365429359305
"{'access': 'yes', 'amenity': 'toilets', 'changing_table': 'no', 'operator': 'Skärgårdsstiftelsen', 'toilets:disposal': 'pitlatrine', 'toilets:handwashing': 'no', 'unisex': 'yes', 'wheelchair': 'limited'}",11080859473,node,1,51.61569498530769
